"Title","Artist","Style","Genre","Media","Link to Picture","link to image","Artwork_ID","...9","...10","...11","...12","participant_1","participant_83","participant_94","participant_95","participant_66","participant_49","participant_32","participant_98","participant_15","participant_80","participant_63","participant_96","participant_46","participant_29","participant_12","participant_89","participant_84","participant_77","participant_60","participant_43","participant_93","participant_26","participant_9","participant_74","participant_91","participant_57","participant_40","participant_23","participant_100","participant_78","participant_6","participant_71","participant_54","participant_87","participant_37","participant_20","participant_3","participant_85","participant_68","participant_51","participant_34","participant_45","participant_7","participant_90","participant_17","participant_82","participant_65","participant_16","participant_48","participant_31","participant_14","participant_86","participant_79","participant_62","participant_56","participant_18","participant_27","participant_28","participant_11","participant_76","participant_47","participant_59","participant_42","participant_25","participant_5","participant_8","participant_73","participant_67","participant_36","participant_38","participant_39","participant_22","participant_13","participant_58","participant_70","participant_53","participant_50","participant_33","participant_19","participant_2","participant_81","participant_64","participant_69","participant_99","participant_30","participant_24","participant_44","participant_97","participant_88","participant_61","participant_75","participant_55","participant_92","participant_10","participant_35","participant_4","participant_41","participant_72","participant_21","participant_52"
"Aroundfish","Paul Klee","Surrealism","still life","oil, canvas","https://www.wikiart.org/en/paul-klee/aroundfish-1926","https://uploads7.wikiart.org/images/paul-klee/aroundfish-1926(1).jpg",33,NA,NA,NA,NA,39,31,NA,NA,NA,NA,52,NA,21,NA,NA,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,36,NA,NA,NA,NA,42,NA,NA,NA,84,50,NA,NA,69,51,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,65,NA,NA,50,NA,NA,NA,NA,NA,58,NA,NA,41,NA,NA,NA,NA,NA,60,40,NA,NA,NA,NA,73,51,NA,NA,NA,8,NA,77
"14-Nov-37","Grace Palithorpe","Surrealism","figurative","oil, canvas","https://www.wikiart.org/en/grace-pailthorpe/november-14-1937-1937","https://uploads4.wikiart.org/00280/images/grace-pailthorpe/november-14-1937-1937.jpg!Large.jpg",34,NA,NA,NA,NA,NA,NA,NA,66,73,67,64,NA,NA,0,NA,NA,NA,NA,45,NA,74,NA,NA,NA,NA,NA,NA,29,81,NA,NA,78,NA,NA,80,NA,NA,NA,21,NA,NA,38,NA,35,NA,63,NA,56,NA,NA,NA,19,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,35,60,NA,100,NA,NA,NA,NA,NA,NA,NA,8,NA,96,71,19,37,100,NA,NA,NA,NA
"Portrait De Paul Eluard","Valentine Hugo","Surrealism","symbolic painting, portrait","pastel on paper","https://www.wikiart.org/en/valentine-hugo/portrait-de-paul-eluard-1932","https://uploads0.wikiart.org/00281/images/valentine-hugo/portrait-de-paul-eluard-1932.jpg!Large.jpg",35,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,51,NA,NA,5,NA,87,NA,64,NA,NA,NA,69,73,NA,NA,79,NA,10,100,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,75,NA,27,83,33,NA,NA,NA,NA,82,NA,75,NA,NA,69,NA,NA,NA,0,NA,100,NA,NA,NA,81,50,NA,68,NA,NA,67,NA,NA,92,72,68,70,66,67,100,NA,NA,NA,NA,84,NA,NA,54,NA,100,NA,NA,NA,NA,NA,NA,NA,NA
"Event on the Downs","Paul Nash","Surrealism","landscape","oil, canvas","https://www.wikiart.org/en/paul-nash/event-on-the-downs-1934","https://uploads4.wikiart.org/00269/images/paul-nash/event-on-the-downs-1.jpg!HalfHD.jpg",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,57,NA,NA,77,NA,24,NA,50,NA,87,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,52,NA,NA,76,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,55,NA,NA,NA,30,NA,NA,NA,NA,37,37,NA,NA,NA,NA,39,NA,NA,68,NA,NA,67,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
"King and Queen","Marcel Duchamp","Surrealism","figurative","etching and aquatint, paper","https://www.wikiart.org/en/marcel-duchamp/king-and-queen-1968","https://uploads8.wikiart.org/images/marcel-duchamp/king-and-queen-1968.jpg",37,NA,NA,NA,NA,61,18,NA,68,NA,NA,29,NA,47,0,0,NA,NA,NA,17,80,NA,78,NA,NA,NA,NA,21,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,52,22,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,67,91,NA,NA,NA,NA,NA,NA,79,25,NA,NA,NA,NA,NA
"Juzgue","Xul Solar","Surrealism","figurative","oil, canvas","https://www.wikiart.org/en/xul-solar/juzgue-1923","https://uploads8.wikiart.org/images/xul-solar/juzgue-1923.jpg",38,NA,NA,NA,NA,NA,NA,NA,64,66,43,NA,79,62,NA,NA,79,12,41,NA,NA,73,69,52,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,12,NA,32,60,NA,26,NA,64,NA,14,NA,15,NA,NA,NA,31,NA,NA,8,NA,NA,65,78,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,23,32,NA,NA,NA,NA,NA,49,NA,26,NA,70,NA,NA,NA,NA,78,NA,28,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,67,NA,NA,NA,NA,71
"Faithful Servants (Marine)","Edward Wadswortth","Surrealism","marina","tempera, board","https://www.wikiart.org/en/edward-wadsworth/faithful-servants-marine-1928","https://uploads1.wikiart.org/images/edward-wadsworth/faithful-servants-marine-1928(1).jpg!Blog.jpg",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,84,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,39,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,51,56,NA,NA,NA,62,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,55,58,NA,57,NA,NA,NA,NA,76,NA,NA,NA,74,46,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jazz","Man Ray","Surrealism","abstract","oil, canvas","https://www.wikiart.org/en/man-ray/jazz","https://uploads8.wikiart.org/images/man-ray/jazz.jpg",40,NA,NA,NA,NA,NA,8,NA,89,73,NA,44,NA,NA,100,NA,NA,66,35,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,81,NA,62,NA,NA,NA,82,87,NA,46,NA,NA,16,63,64,21,NA,35,NA,93,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,58,0,5,NA,NA,NA,NA,73,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,28,75,54,90,NA,NA,NA,70,76,NA,NA,NA,NA,NA,NA,NA,4,NA
"Fantastic mountain landscape","Paul Bril","Baroque","landscape","oil, canvas","https://www.wikiart.org/en/paul-bril/fantastic-mountain-landscape-1598","https://uploads8.wikiart.org/images/paul-bril/fantastic-mountain-landscape-1598.jpg",41,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,75,NA,51,100,87,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,82,NA,NA,16,NA,87,84,NA,65,NA,NA,68,NA,40,95,NA,NA,87,80,NA,93,NA,NA,75,93,NA,NA,86,NA,NA,NA,100,54,NA,69,NA,67,NA,71,NA,66,NA,NA,69,NA,NA,78,NA,73,NA,100,70,NA,74,79,54,NA,NA,NA,71,NA,NA,74,NA,38,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Distribution of Herring and White Bread During the Siege of Leiden 1574","Otto van Veen","Baroque","history painting","oil, canvas","https://www.wikiart.org/en/otto-van-veen/distribution-of-herring-and-white-bread-during-the-siege-of-leiden-1574","https://uploads0.wikiart.org/00115/images/otto-van-veen/distribution-of-herring-and-white-bread-during-the-siege-of-leiden-1574.jpg!HalfHD.jpg",42,NA,NA,NA,NA,NA,NA,84,NA,100,3,NA,NA,NA,NA,NA,75,NA,95,67,NA,46,80,76,NA,NA,37,NA,NA,NA,NA,1,26,NA,NA,NA,100,26,49,15,NA,NA,78,NA,50,NA,NA,NA,NA,62,NA,98,47,41,NA,NA,61,30,NA,NA,NA,61,16,51,NA,NA,NA,NA,32,43,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,66,NA,67,NA,58,NA,NA,88,NA,NA,NA,49,81,NA,78
"The Butcher`s Shop","Annibale Carracci","Baroque","genre painting","oil, canvas","https://www.wikiart.org/en/annibale-carracci/the-butcher-s-shop","https://uploads8.wikiart.org/images/annibale-carracci/the-butcher-s-shop.jpg",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,100,59,NA,NA,9,NA,2,NA,NA,NA,NA,NA,20,33,NA,43,51,NA,92,58,NA,10,NA,NA,NA,NA,30,65,31,NA,NA,NA,NA,70,NA,NA,NA,NA,17,NA,NA,NA,NA,7,67,92,NA,NA,NA,NA,NA,1,50,NA,NA,NA,NA,NA,62,55,NA,NA,NA,63,NA,74,NA,NA,NA,NA,NA,29,38,NA,NA,NA,NA,NA,54,NA
"The explosion of the Spanish flagship during the Battle of Gibraltar, 25 April 1607","Hendrick Cornelisz Vroom","Baroque","battle painting","oil, canvas","https://www.wikiart.org/en/hendrick-cornelisz-vroom/the-explosion-of-the-spanish-flagship-during-the-battle-of-gibraltar-25-april-1607-attributed","https://uploads8.wikiart.org/images/hendrick-cornelisz-vroom/the-explosion-of-the-spanish-flagship-during-the-battle-of-gibraltar-25-april-1607-attributed.jpg",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,100,NA,99,79,NA,NA,NA,NA,NA,NA,100,NA,NA,89,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,55,89,NA,NA,89,NA,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,37,68,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,100,83,NA,NA,48,NA,NA,NA,NA,NA,54,NA,NA,98,67,NA,NA,68,NA,NA,NA,24,100,NA,NA,100
"The Adoration of the Magi","Adam van Noort","Baroque","Religious painting","oil, canvas","https://www.wikiart.org/en/adam-van-noort/the-adoration-of-the-magi","https://uploads6.wikiart.org/00366/images/adam-van-noort/screenshot-2021-11-08-145114.png",45,NA,NA,NA,NA,NA,NA,NA,77,NA,26,65,21,11,NA,NA,57,NA,NA,NA,84,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,7,33,NA,75,NA,NA,57,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,66,70,NA,26,NA,NA,NA,44,20,NA,NA,NA,37,NA,NA,NA,NA,61,NA,NA,NA,NA,46,NA,NA,77,66,NA,NA,74,75,NA,NA,NA,54,NA,34,NA,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De droom van Sint-Jozef","Francisco Pacheco","Baroque","Religious painting","oil, canvas","https://www.wikiart.org/en/francisco-pacheco/de-droom-van-sint-jozef","https://uploads8.wikiart.org/images/francisco-pacheco/de-droom-van-sint-jozef.jpg",46,NA,NA,NA,NA,NA,NA,84,72,NA,NA,NA,49,18,0,NA,NA,NA,61,NA,NA,NA,67,NA,NA,NA,NA,NA,87,NA,90,NA,31,NA,NA,NA,NA,NA,NA,76,NA,NA,30,NA,NA,NA,NA,NA,84,64,42,29,NA,NA,52,60,NA,15,NA,95,NA,70,NA,NA,NA,NA,NA,74,NA,NA,65,NA,64,NA,NA,NA,0,NA,27,84,NA,NA,NA,NA,NA,97,NA,45,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,71,NA,37,NA,NA,100
"Allegory of Sight and Smell","Jan Brueghel the Elder","Baroque","allegorical painting","oil, canvas","https://www.wikiart.org/en/jan-brueghel-the-elder/allegory-of-sight-and-smell-1620","https://uploads2.wikiart.org/00287/images/jan-brueghel-the-elder/allegory-of-sight-and-smell-1620.jpg!Blog.jpg",47,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,69,45,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,58,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,79,NA,NA,NA,82,60,73,NA,NA,63,NA,NA,NA,80,NA,NA,60,NA,NA,51,24,85,NA,NA,NA,NA,NA,54,NA,NA,NA,NA,81,NA,0,NA,74,38,86,70,NA,NA,40,NA,NA,NA,NA,NA,NA,42,84,78,NA,NA,78,77,NA,NA,NA,NA,81,73,NA
"Cardsharps","Caravaggio","Baroque","genre painting","oil, canvas","https://www.wikiart.org/en/caravaggio/cardsharps-1594-1","https://uploads8.wikiart.org/images/caravaggio/cardsharps-1594-1.jpg",48,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,63,NA,NA,NA,NA,65,NA,NA,NA,NA,51,0,NA,NA,NA,NA,NA,61,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,51,NA,NA,91
"Peace Driving War Away","Giulio Cesare Procaccini","Baroque","allegorical painting","oil, canvas","https://www.wikiart.org/en/giulio-cesare-procaccini/peace-driving-war-away-1620","https://uploads3.wikiart.org/00316/images/giulio-cesare-procaccini/giulio-cesare-procaccini-la-pace-scaccia-la-guerra-1620-ca.JPG!HD.JPG",49,NA,NA,NA,NA,34,NA,NA,82,94,55,NA,NA,NA,NA,100,NA,NA,NA,66,NA,NA,NA,NA,NA,62,91,17,NA,NA,85,NA,NA,57,70,82,NA,44,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,92,NA,NA,NA,100,NA,36,NA,58,NA,24,NA,87,NA,NA,NA,12,NA,96,NA,24,NA,67,NA,NA,NA,NA,45,0,60,NA,NA,NA,77,NA,59,44,NA,90,NA,65,NA,NA,27,NA,NA,NA,NA,77,83,NA,62,NA,67,NA,NA,NA
"Equestrian Portrait of the Duke of Lerma","Peter Paul Rubens","Baroque","portrait","oil, canvas","https://www.wikiart.org/en/peter-paul-rubens/equestrian-portrait-of-the-duke-of-lerma-1603","https://uploads8.wikiart.org/images/peter-paul-rubens/equestrian-portrait-of-the-duke-of-lerma-1603.jpg",50,NA,NA,NA,NA,NA,50,NA,NA,NA,32,73,NA,52,NA,90,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,94,NA,NA,NA,NA,NA,77,37,NA,NA,NA,65,NA,54,NA,83,NA,NA,NA,37,NA,NA,67,NA,NA,82,66,64,NA,83,NA,NA,NA,64,53,NA,NA,NA,56,NA,77,NA,NA,NA,70,NA,NA,NA,NA,49,NA,NA,NA,NA,40,NA,NA,47,NA,70,NA,72,NA,NA,NA,NA,NA,NA,NA,74,NA
"Sleeping Herd-Boy","Alexey Venetsianov","Realism","genre painting","oil, wood","https://www.wikiart.org/en/alexey-venetsianov/sleeping-herd-boy","https://uploads8.wikiart.org/images/alexey-venetsianov/sleeping-herd-boy.jpg",51,NA,NA,NA,NA,NA,NA,NA,NA,60,6,NA,51,NA,NA,NA,NA,NA,NA,58,76,NA,NA,62,NA,76,61,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,32,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,15,42,NA,81,NA,NA,NA,NA,38,30,NA,NA,51,NA,12,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,100,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,67,NA,NA,NA,83,NA,NA,88,NA,NA,NA,NA,NA,54,99
"Venice Gondola on Grand Canal","Camille Corot","Realism","cityscape","oil, canvas","https://www.wikiart.org/en/camille-corot/venice-gondola-on-grand-canal","https://uploads8.wikiart.org/images/camille-corot/venice-gondola-on-grand-canal.jpg",52,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,77,67,NA,69,NA,NA,NA,NA,92,NA,95,NA,NA,97,63,NA,81,NA,NA,NA,56,NA,NA,86,NA,75,NA,NA,NA,NA,NA,NA,NA,80,NA,75,NA,75,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96,NA,NA,NA,NA,NA,NA,NA,83,100,NA,69,NA,80,71,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,86,77,NA,0,NA,93,NA,NA
"The Arch of the General Headquarters Building","Vasily Sadovnikov","Realism","cityscape","watercolor","https://www.wikiart.org/en/vasily-sadovnikov/the-arch-of-the-general-headquarters-building","https://uploads8.wikiart.org/images/vasily-sadovnikov/the-arch-of-the-general-headquarters-building.jpg",53,NA,NA,NA,NA,NA,NA,93,NA,75,NA,NA,NA,60,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,58,34,NA,NA,NA,85,NA,NA,NA,51,NA,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,69,56,NA,NA,NA,NA,51,84,NA,NA,NA,NA,74,16,NA,NA,NA,80,NA,NA,75,NA,67,NA,NA,NA,56,77,NA,81,NA,NA,NA,NA,NA,84,NA,100,NA,NA,NA,NA
"The Parthenon","Ippolito","Realism","cityscape","oil, canvas","https://www.wikiart.org/en/ippolito-caffi/the-parthenon-1863","https://uploads5.wikiart.org/00177/images/ippolito-kaffi/ippolito-caffi-1809-1866-the-partenon.jpg!HD.jpg",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,66,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,98,NA,56,NA,NA,NA,NA,NA,NA,60,NA,NA,51,NA,NA,82,59,41,NA,83,NA,NA,NA,NA,NA,71,NA,NA,NA,NA,NA,NA,81,NA,NA,66,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,NA,86,NA,NA
"The Windmill","Jules Dupre","Realism","landscape, cloudscape","oil, canvas","https://www.wikiart.org/en/jules-dupre/the-windmill-1859","https://uploads8.wikiart.org/images/jules-dupre/the-windmill-1859.jpg",55,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,97,NA,NA,NA,86,NA,NA,NA,68,82,NA,NA,NA,91,NA,NA,NA,NA,64,61,86,NA,95,72,74,NA,NA,NA,NA,70,NA,NA,9,NA,NA,76,NA,100,NA,NA,58,NA,63,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,72,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Market in Normandy","Theodore Rousseau","Realism","landscape","oil, canvas","https://www.wikiart.org/en/theodore-rousseau/market-in-the-normandy","https://uploads8.wikiart.org/images/theodore-rousseau/market-in-the-normandy.jpg",56,NA,NA,NA,NA,25,60,NA,11,47,NA,NA,NA,NA,NA,NA,64,NA,NA,100,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,39,NA,72,86,NA,60,NA,NA,NA,NA,NA,63,50,71,NA,NA,85,NA,51,NA,NA,NA,32,63,57,NA,NA,97,87,NA,NA,NA,NA,NA,NA,59,NA,32,NA,NA,56,NA,76,70,NA,51,NA,NA,NA,NA,76,NA,41,NA,60,NA,NA,57,75,NA,78,NA,NA,NA,NA,NA,51,84,NA,NA,NA,51,71
"Cows","Charles Jacque","Realism","animal painting","etching","https://www.wikiart.org/en/charles-jacque/cows-1865","https://uploads8.wikiart.org/images/charles-jacque/cows-1865.jpg",57,NA,NA,NA,NA,NA,NA,NA,77,69,NA,NA,NA,NA,NA,NA,89,NA,NA,NA,97,80,NA,NA,51,NA,76,NA,NA,61,64,NA,NA,70,NA,NA,NA,NA,NA,76,NA,73,NA,73,50,NA,NA,57,NA,NA,NA,NA,68,59,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,85,88,NA,40,NA,45,NA,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,57,NA,60,NA,NA,58,NA,NA,67,NA,NA,NA,NA,NA,70,NA
"The Wood Sawyers","Jean-Francois Millet","Realism","genre painting","oil, canvas","https://www.wikiart.org/en/jean-francois-millet/the-wood-sawyers-1852","https://uploads8.wikiart.org/images/jean-francois-millet/the-wood-sawyers-1852.jpg",58,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,50,NA,85,NA,NA,NA,NA,75,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,56,NA,NA,NA,NA,NA,NA,79,8,NA,88,NA,28,NA,NA,28,51,35,NA,37,NA,NA,NA,NA,NA,NA,NA,50,65,NA,51,NA,78,NA,NA,NA,85,NA,NA,56,NA,NA,NA,NA,NA,71,NA,NA,NA,74,NA,NA,NA,NA,NA
"The Card Players","Ernest Meissonier","Realism","genre painting","oil, canvas","https://www.wikiart.org/en/ernest-meissonier/the-card-players-1872","https://uploads8.wikiart.org/images/ernest-meissonier/the-card-players-1872.jpg",59,NA,NA,NA,NA,51,31,NA,NA,NA,NA,NA,61,NA,100,NA,NA,NA,88,97,NA,NA,NA,97,51,NA,NA,NA,91,NA,NA,11,56,NA,83,NA,79,NA,NA,NA,NA,29,75,72,NA,NA,NA,72,NA,68,NA,NA,73,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,NA,NA,49,NA,57,81,NA,14,NA,59,0,81,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,79,NA,77,NA
"The Hamlet of Optevoz, in the morning","Charles -Francois Daubigny","Realism","landscape","oil, canvas","https://www.wikiart.org/en/charles-francois-daubigny/the-hamlet-of-optevoz-in-the-morning-1852-1","https://uploads5.wikiart.org/images/charles-francois-daubigny/the-hamlet-of-optevoz-in-the-morning.jpg!Blog.jpg",60,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,78,84,65,63,NA,NA,75,NA,NA,NA,87,78,NA,84,NA,77,44,NA,94,68,NA,NA,66,NA,NA,NA,NA,NA,91,32,NA,NA,NA,NA,NA,37,24,NA,67,NA,50,NA,73,NA,NA,NA,NA,51,NA,87,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,NA,58,NA,68,NA,NA,45,NA,NA,79,69,86,NA,51,NA,NA,NA
"They tens mainstay IV","Hilma af Klint","Abstract Art","abstract","oil, paper, tempera","https://www.wikiart.org/en/hilma-af-klint/they-tens-mainstay-iv-1907","https://uploads8.wikiart.org/images/hilma-af-klint/they-tens-mainstay-iv-1907.jpg",61,NA,NA,NA,NA,NA,NA,63,NA,33,62,NA,51,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,100,NA,14,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,6,52,NA,NA,NA,NA,NA,37,NA,NA,95,25,NA,30,6,100,62,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,56,71,37,NA,50,NA,NA,NA,72,NA,NA,NA,54,69,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,68,100,49,NA,NA,NA
"Composition VI","Wassily Kandinsky","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/wassily-kandinsky/composition-vi-1913","https://uploads8.wikiart.org/images/wassily-kandinsky/composition-vi-1913.jpg",62,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,20,43,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,63,NA,56,28,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,17,NA,35,NA,69,NA,6,NA,63,NA,75,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,76,51,51,25,NA,NA,NA,89,NA,NA,NA,NA,NA,NA,57,NA,NA,86,89,NA,84,79,82,NA,57,11,83,NA,NA,NA,18,NA
"Autumn Coloring No. 4","John Marin","Abstract Art","abstract","oil, canvas","https://www.wikiart.org/en/john-marin/autumn-coloring-no-4-1952","https://uploads8.wikiart.org/images/john-marin/autumn-coloring-no-4-1952.jpg",63,NA,NA,NA,NA,NA,0,62,NA,55,35,NA,10,NA,NA,NA,62,0,36,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,6,NA,NA,13,46,NA,NA,59,NA,NA,NA,33,NA,NA,NA,12,NA,8,NA,NA,NA,0,31,NA,27,65,NA,32,24,0,NA,NA,NA,55,NA,77,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,36,NA,NA,NA,39,NA,42,NA,43,NA,NA,NA,NA,8,NA,7,34,NA,NA,NA,0,NA,NA,NA
"The First Cry","Constantin Brancusi","Abstract Art","sculpture","cement","https://www.wikiart.org/en/constantin-brancusi/the-first-cry-1917","https://uploads8.wikiart.org/images/constantin-brancusi/the-first-cry-1917.jpg",64,NA,NA,NA,NA,67,NA,73,19,NA,NA,56,88,NA,0,NA,NA,NA,NA,NA,NA,76,52,NA,NA,NA,76,NA,NA,NA,83,66,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,7,NA,68,NA,NA,NA,13,NA,NA,NA,62,NA,NA,56,53,NA,51,NA,NA,0,NA,NA,NA,24,NA,20,NA,NA,NA,NA,NA,NA,79,49,NA,NA,64,NA,39,NA,52,NA,NA,NA,NA,NA,NA,76,NA,NA,14,70,NA,NA,NA,51,26,NA,NA
"Lighthouse","Marsden Hartley","Abstract Art","figurative","oil, canvas","https://www.wikiart.org/en/marsden-hartley/lighthouse-1915","https://uploads8.wikiart.org/images/marsden-hartley/lighthouse-1915.jpg",65,NA,NA,NA,NA,NA,12,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,73,NA,NA,NA,28,97,NA,NA,NA,NA,100,27,NA,NA,NA,NA,55,NA,53,NA,42,NA,NA,50,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,34,79,NA,NA,NA,2,NA,NA,NA,15,NA,19,NA,NA,33,NA,NA,40,NA,NA,NA,40,55,NA,NA,38,72,NA,NA,60,NA,NA,NA,NA,NA,NA,62,NA,NA,NA,67,NA,26,NA,51
